bearing,delay,timestamp,lastLocID,lastStopSeq,nextLocID,nextStopSeq,signMessageLong,tripID,vehicle_id,vehicle_location_longitude,vehicle_location_latitude
358,-50,2017-01-31 01:39:51,8338,12,8339,13,MAX  Red Line to Airport,7126435,307,-122.671396,45.525178000000004
359,-67,2017-01-31 01:40:23,8339,13,8340,14,MAX  Red Line to Airport,7126435,307,-122.671407,45.525672
90,-34,2017-01-31 01:43:46,8340,14,8341,15,MAX  Red Line to Airport,7126435,307,-122.662834,45.530077
89,-82,2017-01-31 01:45:14,8341,15,8342,16,MAX  Red Line to Airport,7126435,307,-122.66093500000001,45.530076
90,-139,2017-01-31 01:48:29,8342,16,8343,17,MAX  Red Line to Airport,7126435,307,-122.65590800000001,45.53006
90,-222,2017-01-31 01:51:21,8343,17,8344,18,MAX  Red Line to Airport,7126435,307,-122.652179,45.530057
107,-267,2017-01-31 01:55:31,8344,18,8345,19,MAX  Red Line to Airport,7126435,307,-122.620224,45.532643
53,-301,2017-01-31 01:58:30,8345,19,8346,20,MAX  Red Line to Airport,7126435,307,-122.598418,45.531037
111,36,2017-01-31 01:26:38,9758,6,8333,7,MAX  Red Line to Airport,7126435,307,-122.688845,45.521066999999995
19,48,2017-01-31 01:25:03,9759,5,9758,6,MAX  Red Line to Airport,7126435,307,-122.690699,45.52109
37,0,2017-01-31 01:00:12,9821,26,9821,1,MAX  Red Line to Airport,7126435,307,-122.80121499999998,45.491709
117,19,2017-01-31 01:13:14,9969,2,10120,3,MAX  Red Line to Airport,7126435,307,-122.775131,45.507893
21,4,2017-01-31 01:23:32,10118,4,9759,5,MAX  Red Line to Airport,7126435,307,-122.692508,45.518361999999996
79,-5,2017-01-31 01:19:00,10120,3,10118,4,MAX  Red Line to Airport,7126435,307,-122.713943,45.510831
110,2,2017-01-31 01:44:56,8333,7,8334,8,MAX  Red Line to Airport,7126436,218,-122.68071,45.518892
109,1,2017-01-31 01:49:04,8335,9,8336,10,MAX  Red Line to Airport,7126436,218,-122.674803,45.517254
357,4,2017-01-31 01:53:26,8338,12,8339,13,MAX  Red Line to Airport,7126436,218,-122.671347,45.524104
359,18,2017-01-31 01:53:57,8339,13,8340,14,MAX  Red Line to Airport,7126436,218,-122.671407,45.525672
90,-8,2017-01-31 01:57:52,8340,14,8341,15,MAX  Red Line to Airport,7126436,218,-122.66436499999999,45.530084
110,-38,2017-01-31 01:43:10,9758,6,8333,7,MAX  Red Line to Airport,7126436,218,-122.68774599999999,45.520773999999996
19,6,2017-01-31 01:40:44,9759,5,9758,6,MAX  Red Line to Airport,7126436,218,-122.690699,45.52109
96,-3,2017-01-31 01:23:22,9821,1,9969,2,MAX  Red Line to Airport,7126436,218,-122.798957,45.49224
117,-41,2017-01-31 01:29:14,9969,2,10120,3,MAX  Red Line to Airport,7126436,218,-122.775131,45.507893
21,-16,2017-01-31 01:38:51,10118,4,9759,5,MAX  Red Line to Airport,7126436,218,-122.692508,45.518361999999996
79,-45,2017-01-31 01:34:39,10120,3,10118,4,MAX  Red Line to Airport,7126436,218,-122.713943,45.510831
110,61,2017-01-31 01:58:56,8333,7,8334,8,MAX  Red Line to Airport,7126437,213,-122.68071,45.518892
110,92,2017-01-31 01:55:47,9758,6,8333,7,MAX  Red Line to Airport,7126437,213,-122.688553,45.520988
19,105,2017-01-31 01:54:04,9759,5,9758,6,MAX  Red Line to Airport,7126437,213,-122.690699,45.52109
37,0,2017-01-31 01:36:08,9821,5,9821,1,MAX  Red Line to Airport,7126437,213,-122.80121499999998,45.491709
117,73,2017-01-31 01:42:22,9969,2,10120,3,MAX  Red Line to Airport,7126437,213,-122.775131,45.507893
21,65,2017-01-31 01:52:31,10118,4,9759,5,MAX  Red Line to Airport,7126437,213,-122.692508,45.518361999999996
79,76,2017-01-31 01:47:37,10120,3,10118,4,MAX  Red Line to Airport,7126437,213,-122.713943,45.510831
110,61,2017-01-31 01:58:56,8333,7,8334,8,MAX  Red Line to Airport,7126437,228,-122.68071,45.518892
110,92,2017-01-31 01:55:47,9758,6,8333,7,MAX  Red Line to Airport,7126437,228,-122.688553,45.520988
19,105,2017-01-31 01:54:04,9759,5,9758,6,MAX  Red Line to Airport,7126437,228,-122.690699,45.52109
37,0,2017-01-31 01:36:08,9821,5,9821,1,MAX  Red Line to Airport,7126437,228,-122.80121499999998,45.491709
117,73,2017-01-31 01:42:22,9969,2,10120,3,MAX  Red Line to Airport,7126437,228,-122.775131,45.507893
21,65,2017-01-31 01:52:31,10118,4,9759,5,MAX  Red Line to Airport,7126437,228,-122.692508,45.518361999999996
79,76,2017-01-31 01:47:37,10120,3,10118,4,MAX  Red Line to Airport,7126437,228,-122.713943,45.510831
37,0,2017-01-31 01:52:06,9821,15,9821,1,MAX  Red Line to Airport,7126438,109,-122.80121499999998,45.491709
117,76,2017-01-31 01:57:49,9969,2,10120,3,MAX  Red Line to Airport,7126438,109,-122.775131,45.507893
37,0,2017-01-31 01:52:06,9821,15,9821,1,MAX  Red Line to Airport,7126438,227,-122.80121499999998,45.491709
117,76,2017-01-31 01:57:49,9969,2,10120,3,MAX  Red Line to Airport,7126438,227,-122.775131,45.507893
110,-57,2017-01-31 01:15:54,8333,7,8334,8,MAX  Red Line to Airport,7126591,240,-122.68071,45.518892
109,-95,2017-01-31 01:18:41,8334,8,8335,9,MAX  Red Line to Airport,7126591,240,-122.67793600000002,45.518151
110,-127,2017-01-31 01:20:26,8335,9,8336,10,MAX  Red Line to Airport,7126591,240,-122.675933,45.517615
20,-119,2017-01-31 01:21:40,8336,10,8337,11,MAX  Red Line to Airport,7126591,240,-122.673652,45.517565999999995
357,-71,2017-01-31 01:23:25,8337,11,8338,12,MAX  Red Line to Airport,7126591,240,-122.67120700000001,45.522177
357,-41,2017-01-31 01:24:08,8338,12,8339,13,MAX  Red Line to Airport,7126591,240,-122.67133999999999,45.523979
359,-53,2017-01-31 01:25:09,8339,13,8340,14,MAX  Red Line to Airport,7126591,240,-122.671407,45.525672
90,-115,2017-01-31 01:30:06,8340,14,8341,15,MAX  Red Line to Airport,7126591,240,-122.66293799999998,45.530078
89,-142,2017-01-31 01:31:14,8341,15,8342,16,MAX  Red Line to Airport,7126591,240,-122.66093500000001,45.530076
90,-115,2017-01-31 01:33:03,8342,16,8343,17,MAX  Red Line to Airport,7126591,240,-122.65590800000001,45.53006
89,-146,2017-01-31 01:35:05,8343,17,8344,18,MAX  Red Line to Airport,7126591,240,-122.65244399999999,45.530055
108,-217,2017-01-31 01:39:44,8344,18,8345,19,MAX  Red Line to Airport,7126591,240,-122.619771,45.532538
52,-236,2017-01-31 01:42:02,8345,19,8346,20,MAX  Red Line to Airport,7126591,240,-122.602085,45.529090000000004
114,-216,2017-01-31 01:44:22,8346,20,8347,21,MAX  Red Line to Airport,7126591,240,-122.57666200000001,45.532821999999996
189,-226,2017-01-31 01:47:22,8347,21,11616,22,MAX  Red Line to Airport,7126591,240,-122.563506,45.529718
111,-22,2017-01-31 01:12:41,9758,6,8333,7,MAX  Red Line to Airport,7126591,240,-122.688701,45.521028
110,43,2017-01-31 01:11:17,9759,5,9758,6,MAX  Red Line to Airport,7126591,240,-122.690001,45.521387
116,-128,2017-01-31 01:00:10,9821,1,9969,2,MAX  Red Line to Airport,7126591,240,-122.78068200000001,45.510108
117,-142,2017-01-31 01:00:56,9969,2,10120,3,MAX  Red Line to Airport,7126591,240,-122.775131,45.507893
21,-56,2017-01-31 01:09:31,10118,4,9759,5,MAX  Red Line to Airport,7126591,240,-122.692508,45.518361999999996
79,-117,2017-01-31 01:05:52,10120,3,10118,4,MAX  Red Line to Airport,7126591,240,-122.713943,45.510831
42,-211,2017-01-31 01:51:39,10572,23,10574,24,MAX  Red Line to Airport,7126591,240,-122.56449599999999,45.559906
270,-195,2017-01-31 01:53:54,10574,24,10576,25,MAX  Red Line to Airport,7126591,240,-122.56148,45.572588
315,-180,2017-01-31 01:55:52,10576,25,10579,26,MAX  Red Line to Airport,7126591,240,-122.568428,45.579033
16,-218,2017-01-31 01:49:28,11616,22,10572,23,MAX  Red Line to Airport,7126591,240,-122.56121,45.544207
110,-57,2017-01-31 01:15:54,8333,7,8334,8,MAX  Red Line to Airport,7126591,312,-122.68071,45.518892
109,-95,2017-01-31 01:18:41,8334,8,8335,9,MAX  Red Line to Airport,7126591,312,-122.67793600000002,45.518151
110,-127,2017-01-31 01:20:26,8335,9,8336,10,MAX  Red Line to Airport,7126591,312,-122.675933,45.517615
20,-119,2017-01-31 01:21:40,8336,10,8337,11,MAX  Red Line to Airport,7126591,312,-122.673652,45.517565999999995
357,-71,2017-01-31 01:23:25,8337,11,8338,12,MAX  Red Line to Airport,7126591,312,-122.67120700000001,45.522177
357,-41,2017-01-31 01:24:08,8338,12,8339,13,MAX  Red Line to Airport,7126591,312,-122.67133999999999,45.523979
359,-53,2017-01-31 01:25:09,8339,13,8340,14,MAX  Red Line to Airport,7126591,312,-122.671407,45.525672
90,-115,2017-01-31 01:30:06,8340,14,8341,15,MAX  Red Line to Airport,7126591,312,-122.66293799999998,45.530078
89,-142,2017-01-31 01:31:14,8341,15,8342,16,MAX  Red Line to Airport,7126591,312,-122.66093500000001,45.530076
90,-115,2017-01-31 01:33:03,8342,16,8343,17,MAX  Red Line to Airport,7126591,312,-122.65590800000001,45.53006
89,-146,2017-01-31 01:35:05,8343,17,8344,18,MAX  Red Line to Airport,7126591,312,-122.65244399999999,45.530055
108,-217,2017-01-31 01:39:44,8344,18,8345,19,MAX  Red Line to Airport,7126591,312,-122.619771,45.532538
52,-236,2017-01-31 01:42:02,8345,19,8346,20,MAX  Red Line to Airport,7126591,312,-122.602085,45.529090000000004
114,-216,2017-01-31 01:44:22,8346,20,8347,21,MAX  Red Line to Airport,7126591,312,-122.57666200000001,45.532821999999996
189,-226,2017-01-31 01:47:22,8347,21,11616,22,MAX  Red Line to Airport,7126591,312,-122.563506,45.529718
111,-22,2017-01-31 01:12:41,9758,6,8333,7,MAX  Red Line to Airport,7126591,312,-122.688701,45.521028
110,43,2017-01-31 01:11:17,9759,5,9758,6,MAX  Red Line to Airport,7126591,312,-122.690001,45.521387
116,-128,2017-01-31 01:00:10,9821,1,9969,2,MAX  Red Line to Airport,7126591,312,-122.78068200000001,45.510108
117,-142,2017-01-31 01:00:56,9969,2,10120,3,MAX  Red Line to Airport,7126591,312,-122.775131,45.507893
21,-56,2017-01-31 01:09:31,10118,4,9759,5,MAX  Red Line to Airport,7126591,312,-122.692508,45.518361999999996
79,-117,2017-01-31 01:05:52,10120,3,10118,4,MAX  Red Line to Airport,7126591,312,-122.713943,45.510831
42,-211,2017-01-31 01:51:39,10572,23,10574,24,MAX  Red Line to Airport,7126591,312,-122.56449599999999,45.559906
270,-195,2017-01-31 01:53:54,10574,24,10576,25,MAX  Red Line to Airport,7126591,312,-122.56148,45.572588
315,-180,2017-01-31 01:55:52,10576,25,10579,26,MAX  Red Line to Airport,7126591,312,-122.568428,45.579033
16,-218,2017-01-31 01:49:28,11616,22,10572,23,MAX  Red Line to Airport,7126591,312,-122.56121,45.544207
304,-23,2017-01-31 01:12:34,8370,6,8371,7,MAX  Red Line to City Center & Beaverton,7126635,235,-122.564149,45.531764
